name,구분,lat,lon
수성못역,일반역,35.8313624,128.6231984
지 산역,일반역,35.8251707,128.631909
범 물역,일반역,35.8208443,128.6400962
용 지역,일반역,35.8182735,128.6465169
부산역,일반역,35.115224,129.0397
중앙역,일반역,35.103837,129.036371
남포역,일반역,35.097953,129.034869
자갈치역,일반역,35.097372,129.02667
토성역,일반역,35.100727,129.019776
동대신역,일반역,35.110452,129.017684
서대신역,일반역,35.110937,129.012178
대티역,일반역,35.103126,128.999936
괴정역,일반역,35.099816,128.992144
사하역,일반역,35.099847,128.9831
당리역,일반역,35.103532,128.973846
하단역,일반역,35.10618,128.966803
녹동역,일반역,35.107028,126.933932
소태역,일반역,35.124108,126.932013
학동증심사입구역,일반역,35.133023,126.928382
남광주역,일반역,35.1478534,126.921807
문화전당역(구도청)역,일반역,35.144698,126.9196731
금남로4가역,일반역,35.150976,126.914446
금남로5가역,일반역,35.1537137,126.910933
양동시장역,일반역,35.154176,126.904489
돌고개역,일반역,35.152047,126.895637
농성역,일반역,35.153563,126.883973
화정역,일반역,35.150381,126.877698
쌍촌역,일반역,35.151793,126.869519
운천역,일반역,35.150486,126.858694
상무역,일반역,35.146784,126.848641
김대중컨벤션센터(마륵)역,일반역,35.143214,126.841442
신평역,일반역,35.095179,128.960564
동매역,일반역,35.048621,128.965908
장림역,일반역,35.057419,128.971279
신장림역,일반역,35.065265,128.979873
낫개역,일반역,35.074433,128.977041
다대포항역,일반역,35.081631,128.977636
다대포해수욕장역,일반역,35.089951,128.973971
서울역,환승역,37.55575305,126.9724563
시청역,환승역,37.56471664,126.9767513
종각역,일반역,37.57020349,126.9829483
종로3가역,환승역,37.57139366,126.9914115
종로5가역,일반역,37.57100685,127.001799
공항역,일반역,35.144179,126.8112104
송정공원역,일반역,35.143565,126.799245
광주송정역,일반역,35.137529,126.791488
도산역,일반역,35.131713,126.787942
평동역,일반역,35.1245829,126.769586
발곡역,일반역,37.7269917,127.0529098
회룡역,환승역,37.7250156,127.0471082
범골역,일반역,37.728796,127.0436639
경전철의정부역,일반역,37.7373859,127.043314
의정부시청역,일반역,37.7392416,127.0348664
흥선역,일반역,37.7432842,127.0371212
의정부중앙역,일반역,37.7436839,127.0496634
동오역,일반역,37.7452685,127.056979
새말역,일반역,37.7488688,127.0637846
경기도청북부청사역,일반역,37.7507731,127.0716075
효자역,일반역,37.7539992,127.0772808
곤제역,일반역,37.7505337,127.083846
어룡역,일반역,37.7426961,127.0852263
송산역,일반역,37.737262,127.0872261
부산원동역,일반역,35.362703,128.920499
임진강역,일반역,37.888364,126.746777
서울역(경의선)역,환승역,37.554713,126.970787
신촌역,일반역,37.559768,126.942308
가좌역,환승역,37.568611,126.914841
효창공원앞역,환승역,37.539289,126.961339
공덕역,환승역,37.542611,126.952134
서강대역,일반역,37.552132,126.935389
홍대입구역,환승역,37.55808,126.925533
디지털미디어시티역,환승역,37.577964,126.900421
수색역,일반역,37.580855,126.895681
화전역,일반역,37.637837,126.832503
강매역,일반역,37.612596,126.845437
행신역,일반역,37.612125,126.834063
능곡역,일반역,37.618741,126.820845
곡산역,일반역,37.645729,126.801877
백마역,일반역,37.658346,126.794401
풍산역,일반역,37.672173,126.786355
일산역,일반역,37.682231,126.769521
탄현역,일반역,37.694114,126.761075
야당역,일반역,37.712749,126.761535
왕십리역,환승역,37.561128,127.035505
청량리역,환승역,37.580543,127.046516
회기역,환승역,37.589802,127.057936
외대앞역,일반역,37.596157,127.063572
신이문역,일반역,37.601829,127.067347
석계역,환승역,37.615206,127.065594
광운대역,환승역,37.623635,127.061975
월계역,일반역,37.633114,127.058835
녹천역,일반역,37.644599,127.051406
창동역,환승역,37.653181,127.047663
방학역,일반역,37.667471,127.044295
도봉역,일반역,37.679441,127.045521
도봉산역,환승역,37.689603,127.046347
망월사역,일반역,37.710499,127.047361
회룡역,환승역,37.724037,127.047319
의정부역,일반역,37.73873,127.045891
가능역,일반역,37.748362,127.044251
녹양역,일반역,37.759416,127.042272
양주역,일반역,37.774281,127.044719
덕계역,일반역,37.818761,127.056676
덕정역,일반역,37.843216,127.061511
지행역,일반역,37.892361,127.055734
동두천중앙역,일반역,37.901818,127.056528
보산역,일반역,37.914268,127.057134
동두천역,일반역,37.927569,127.054825
소요산역,일반역,37.948608,127.061007
중랑역,환승역,37.594948,127.076152
상봉역,환승역,37.595254,127.085853
망우역,환승역,37.599288,127.092318
양원역,일반역,36.963209,129.091131
지평역,일반역,37.476496,127.629681
구리역,일반역,37.503178,126.882037
도농역,일반역,37.608756,127.161105
양정역,일반역,37.604269,127.194602
덕소역,일반역,37.586892,127.208835
도심역,일반역,37.579628,127.222798
팔당역,일반역,37.547321,127.243896
운길산역,일반역,37.554659,127.310089
양수역,일반역,37.545998,127.328948
신원역,일반역,37.525921,127.372745
국수역,일반역,37.516171,127.399402
아신역,일반역,37.513954,127.443238
오빈역,일반역,37.506061,127.474053
양평역,일반역,37.492674,127.491858
원덕역,일반역,37.468585,127.547468
용문역,일반역,37.482085,127.594251
서울숲역,일반역,37.543647,127.044686
압구정로데오역,일반역,37.527385,127.040555
강남구청역,환승역,37.517172,127.041275
선정릉역,환승역,37.510275,127.043817
선릉역,환승역,37.504479,127.048941
한티역,일반역,37.496208,127.052883
도곡역,환승역,37.490914,127.055393
구룡역,일반역,37.486985,127.059496
개포동역,일반역,37.489112,127.066027
대모산입구역,일반역,37.491347,127.072702
수서역,환승역,37.487633,127.101118
복정역,환승역,37.469753,127.126627
가천대역,일반역,37.448784,127.126677
태평역,일반역,37.439842,127.127746
모란역,환승역,37.432124,127.129064
야탑역,일반역,37.41132,127.128661
이매역,환승역,37.395846,127.128272
서현역,일반역,37.384931,127.123249
수내역,일반역,37.378435,127.114216
정자역,환승역,37.366037,127.108091
미금역,일반역,37.350078,127.108952
오리역,일반역,37.339832,127.108985
죽전역,일반역,37.324575,127.107385
보정역,일반역,37.31274,127.108219
구성역,일반역,37.299013,127.105664
신갈역,일반역,37.286127,127.111311
기흥역,환승역,37.275657,127.115944
상갈역,일반역,37.261797,127.108718
청명역,일반역,37.259485,127.078945
영통역,일반역,37.251521,127.071341
망포역,일반역,37.245793,127.057367
매탄권선역,일반역,37.252458,127.040824
수원시청역,일반역,37.261941,127.030736
매교역,일반역,37.265502,127.015657
신내역,일반역,37.612855,127.103277
갈매역,일반역,37.634135,127.114803
별내역,일반역,37.642221,127.127208
퇴계원역,일반역,37.648316,127.143858
사릉역,일반역,37.651145,127.176839
금곡역,일반역,37.637414,127.207931
평내호평역,일반역,37.653229,127.244452
천마산역,일반역,37.658995,127.285731
마석역,일반역,37.652328,127.311713
대성리역,일반역,37.683909,127.379165
청평역,일반역,37.735484,127.426541
상천역,일반역,37.770405,127.4542
가평역,일반역,37.814515,127.510693
굴봉산역,일반역,37.832086,127.557732
백양리역,일반역,37.830881,127.589085
강촌역,일반역,37.805728,127.634054
김유정역,일반역,37.818475,127.714302
남춘천역,일반역,37.864071,127.723761
춘천역,일반역,37.884391,127.716603
판교역,환승역,37.394798,127.111135
삼동역,일반역,37.408731,127.203447
경기광주역,일반역,37.398974,127.253201
초월역,일반역,37.373389,127.299996
곤지암역,일반역,37.350525,127.346186
신둔도예촌역,일반역,37.315499,127.405251
수원역,환승역,37.266162,126.999821
세류역,일반역,37.244102,127.013772
병점역,환승역,37.206821,127.033268
서동탄역,일반역,37.195675,127.051893
세마역,일반역,37.187288,127.043279
오산대역,일반역,37.169401,127.063081
오산역,일반역,37.145472,127.066708
진위역,일반역,37.109771,127.062342
송탄역,일반역,37.075376,127.054397
지제역,일반역,37.018822,127.070269
서정리역,일반역,37.056459,127.052844
평택역,일반역,36.990559,127.085496
구일역,일반역,37.496273,126.869599
개봉역,일반역,37.494698,126.858504
오류동역,일반역,37.4944,126.844551
온수역,환승역,37.492267,126.823399
역곡역,일반역,37.48514,126.811622
소사역,일반역,37.482755,126.795654
부천역,일반역,37.484066,126.782779
중동역,일반역,37.486664,126.764474
송내역,일반역,37.487626,126.753045
부개역,일반역,37.488479,126.740549
부평역,환승역,37.489457,126.724584
백운역,일반역,37.483301,126.707179
동암역,일반역,37.470835,126.703016
간석역,일반역,37.464689,126.693408
주안역,환승역,37.465041,126.680702
도화역,일반역,37.466154,126.66846
명학역,일반역,37.384435,126.935579
제물포역,일반역,37.466809,126.657165
도원역,일반역,37.468604,126.642824
동인천역,일반역,37.475414,126.632598
인천역,환승역,37.476364,126.616936
선바위역,일반역,37.451854,127.002164
