name,주소,lat,lon
중앙 지구대,서울특별시 영등포구  영등포로46길 14,37.5180106135789,126.907513795007
여의도 지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,37.5296207835407,126.926691111146
문래 지구대,서울특별시 영등포구  경인로 759,37.5135821557429,126.897650067059
신풍 지구대,서울특별시 영등포구 신길동 4533-16,0,0
신길 지구대,서울특별시 영등포구  신길로60다길 16 ,37.5135076032297,126.914109138428
양평 파출소,서울특별시 영등포구  선유로 95,37.522723047751,126.889684521673
당산 지구대,서울특별시 영등포구  당산로 221,37.5336156813601,126.901263890593
대림 지구대,서울특별시 영등포구  대림로23길 16-1,37.4934305498189,126.898702865566
대림3 파출소,서울특별시 영등포구 대림로 197,37.498313519439,126.898034371631
영등포역 파출소,서울특별시 영등포구 경인로102길 13,0,0
한양 지구대,서울특별시 성동구  사근동길 5,37.5603019185024,127.041794349813
성수 지구대,서울특별시 성동구  광나루로2길 35 성수지구대,37.5482232014778,127.055245559476
서울숲 지구대,서울특별시 성동구  성덕정길 77-2,37.5380574969255,127.052273266357
왕십리 파출소,서울특별시 성동구  마장로 205,37.5666688968744,127.032658353836
행당 파출소,서울특별시 성동구  행당로 89,37.5574289059055,127.028855896061
옥수 파출소,서울특별시 성동구  독서당로 211,37.5438389184568,127.014348948586
금호 파출소,서울특별시 성동구  금호로11길 2-1,37.5547388017359,127.019618302754
응봉 파출소,서울특별시 성동구  독서당로 373 응봉파출소,37.5497977040106,127.030020362088
용답 파출소,서울특별시 성동구  용답중앙길 49 용답파출소,37.5647821400746,127.051758708211
사당 지구대,서울특별시 동작구  동작대로9길 35,37.4805392243217,126.979531452888
노량진 지구대,서울특별시 동작구  등용로12나길 2,37.5111477441801,126.933297744002
상도 지구대,서울특별시 동작구  등용로 24 ,37.5059329821861,126.936202457013
남성 지구대,서울특별시 동작구 사당로17나길 4,37.4841180387831,126.973255444645
흑석 지구대,서울특별시 동작구 노량진로 248,37.5124023060832,126.95363712242
신대방 지구대,서울특별시 동작구 신대방1다길 24,37.4866458271285,126.905947114843
대방 파출소,서울특별시 동작구 여의대방로 130,37.4985652656913,126.920574048532
광나루 지구대,서울특별시 광진구 아차산로 567,37.5444546646191,127.103316501535
화양 지구대,서울특별시 광진구  능동로17길 39 화양지구대,37.5465371086048,127.071317882404
중곡1 파출소,서울특별시 광진구 능동로 385,37.5637201146154,127.082788101087
중곡2 파출소,서울특별시 광진구  능동로 346,37.5601504693098,127.081475106274
중곡3 파출소,서울특별시 광진구 동일로76가길 28,37.5688068928836,127.080138097194
중곡4 파출소,서울특별시 광진구  용마산로24길 7,37.5653510301975,127.087260504516
자양 파출소,서울특별시 광진구 뚝섬로36길 9,37.5338581490659,127.071616152061
자양1 파출소,서울특별시 광진구  자양번영로 80,37.5366207935691,127.076922346899
자양4 파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,37.5351870096292,127.063635996316
구의 파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,37.5458954287516,127.091667652198
응암 지구대,서울특별시 은평구  은평로 171,37.6016345299694,126.926445885297
신사 지구대,서울특별시 은평구  은평터널로5길 6호,37.5917796902503,126.90535752555
녹번 파출소,서울특별시 은평구  진흥로 진흥로200,37.6088118976774,126.931835604338
응암3 파출소,서울특별시 은평구  응암로 208 ,37.5905275289984,126.917536839269
역촌 파출소,서울특별시 은평구  연서로 61,37.6045881730664,126.915065656503
미아 지구대,서울특별시 강북구 도봉로 127,37.6201553368322,127.028264945396
솔샘 지구대,서울특별시 강북구 오현로 4,37.6163094791984,127.030400810226
수유1 파출소,서울특별시 강북구  삼양로 305,37.6306754435128,127.017581288566
수유2 파출소,서울특별시 강북구 삼각산로 115,37.6409214297195,127.017097860052
